stress_level,burnout_level
57.85,Medium
6.04,Low
100,High
78.85,High
92.22,High
48.92,Medium
24.65,Low
36.59,Medium
70.87,High
44.79,Medium
100,High
18.54,Low
0,Low
59.94,Medium
,Low
72.36,High
53.84,Medium
50.36,Medium
46.7,Medium
29.84,Low
37.8,Medium
84.46,High
26.41,Low
42.7,
63.59,Medium
61.71,
55.89,Medium
92.93,
70.75,High
62.39,Medium
86.75,High
37.04,Medium
100,High
15.83,Low
28.28,Low
93.22,High
64.2,Medium
20.03,Low
66.4,Medium
67.99,Medium
47.94,Medium
40.69,Medium
57.93,Medium
55.22,Medium
44.61,Medium
90.38,High
30.31,Low
15.82,Low
43.23,Medium
30.52,Low
70.51,High
59.22,Medium
42.12,Medium
44.68,Medium
66.54,Medium
16.61,Low
83.88,High
,Medium
21.58,Low
47.09,Medium
58.22,Medium
18.28,Low
30.96,Low
5.43,Low
96.02,High
28.55,Low
28.64,Low
87.19,High
18.71,Low
53.81,Medium
40.29,Medium
14.2,Low
59.44,
53.07,Medium
71.28,High
100,High
24.7,Low
75.31,High
66.1,Medium
22.84,Low
43.67,Medium
43.99,Medium
68.61,Medium
58.28,Medium
86.25,High
53.63,Medium
43.97,Medium
65.57,Medium
73.23,High
26.74,Low
37.64,Medium
61.78,Medium
87.02,High
27.48,Low
60.45,Medium
53.46,Medium
20.81,Low
40.57,Medium
19.46,Low
79.28,High
43.44,Medium
62.86,Medium
48.09,Medium
75.93,High
72.52,High
27.36,Low
19.59,Low
14.14,Low
35.25,Medium
24.2,Low
85.59,High
27.23,Low
90.15,High
52.79,Medium
71.16,High
90.32,High
57.55,Medium
50.77,Medium
0,Low
30.69,Low
85.3,High
83.66,High
35.06,Medium
67.28,Medium
51.02,Medium
87.71,High
49.62,Medium
35.43,
64.06,Medium
97.02,High
40.84,Medium
58.97,Medium
29.88,Low
71.59,High
48.45,Medium
66.71,Medium
10.96,Low
72.5,High
46.51,Medium
60.23,Medium
69.12,Medium
64.49,
17.89,Low
59.11,Medium
29.29,Low
73.53,High
61.35,Medium
69.47,Medium
74.85,High
51.69,Medium
40.44,Medium
51.04,Medium
37.76,Medium
35.25,Medium
57.51,Medium
52.49,Medium
73.3,High
25.12,Low
76.33,High
100,High
36.93,Medium
33.55,Low
25.13,Low
95.49,High
69.36,Medium
21.41,Low
54.67,Medium
48,Medium
32.45,Low
78.47,High
53.16,Medium
16.99,Low
91.23,High
39.69,Medium
96.92,High
27.12,Low
56.87,Medium
36.38,Medium
28.31,Low
46.13,Medium
37.72,Medium
58,Medium
52.55,Medium
37.72,Medium
55.97,Medium
82.67,High
79.54,High
72.68,High
54.77,Medium
94.15,High
49.21,Medium
45.24,Medium
30.22,Low
49.35,Medium
77.99,High
20.62,Low
40.65,Medium
40.13,Medium
72.03,High
27.48,Low
100,High
44.22,Medium
37.78,Medium
34.96,Low
76.61,High
89.63,High
0,Low
54.25,Medium
82.46,High
19.28,Low
10.58,Low
10.1,Low
64.8,Medium
46.49,Medium
2.91,Low
56.21,Medium
67.42,Medium
58.72,Medium
37.39,Medium
27.79,Low
55.56,Medium
52.25,Medium
43.49,Medium
54.18,Medium
96.38,High
44,Medium
50.64,Medium
66.17,Medium
45.92,Medium
58.79,Medium
72.18,High
55.04,Medium
2.27,Low
30.32,Low
45.42,Medium
37.52,Medium
28.23,Low
82.76,High
47.48,Medium
89.21,High
84.93,High
3.21,Low
49.1,Medium
31.03,Low
94.12,High
74.25,High
44.92,Medium
78.35,High
27.76,Low
15.38,Low
48.32,Medium
89.57,High
44.02,Medium
,High
52.48,Medium
67.96,Medium
6.76,Low
,Medium
85.79,High
47.04,Medium
57.46,Medium
31.84,Low
21.52,Low
84.75,High
44.83,Medium
76.4,High
56.22,Medium
42.85,Medium
65.28,Medium
,Medium
11.59,Low
,Medium
53.67,Medium
31.7,Low
60.82,Medium
55.24,Medium
61.06,Medium
54.87,Medium
84.79,High
44.57,Medium
100,High
46.98,Medium
61.53,Medium
44.43,Medium
65.8,Medium
46.39,Medium
49.64,Medium
60.95,Medium
,Low
34.07,Low
46.67,Medium
36.54,Medium
50.46,Medium
1.1,Low
47.44,Medium
60.23,Medium
47.37,Medium
30.05,Low
71.55,High
100,High
52.87,Medium
18.1,Low
76.89,High
50.38,Medium
57.67,Medium
46.89,Medium
24.36,Low
62.9,Medium
40.65,Medium
88.67,High
67.55,Medium
68.27,Medium
30.22,Low
69.24,Medium
24.05,Low
91.15,High
45.08,Medium
63.65,Medium
64.71,Medium
67.32,Medium
62.12,Medium
54.92,Medium
21.3,Low
18.53,Low
48.99,Medium
100,High
67.7,Medium
31.34,Low
66.93,Medium
53.84,Medium
100,High
45.19,Medium
37.52,Medium
53.22,Medium
40.58,Medium
55.16,Medium
50.29,Medium
22.27,Low
31.62,Low
19.92,Low
75.97,High
61.48,Medium
0,Low
100,High
35.14,Medium
61.72,Medium
37.69,Medium
71.48,High
52.2,Medium
83.33,High
6.45,Low
34.8,Low
26.49,Low
18.95,Low
54.05,Medium
48.1,Medium
55.56,Medium
66.35,Medium
57.42,Medium
77.28,High
86.6,High
84.79,High
40.87,Medium
52.47,Medium
64.07,Medium
32.51,Low
32.2,Low
75.07,High
36.47,Medium
39.25,Medium
31.53,
51.07,Medium
10.68,Low
71.64,High
36.05,Medium
51.7,Medium
19.54,Low
0,Low
76.2,High
60.01,Medium
23.62,Low
49.14,Medium
87.19,High
62.5,Medium
91.3,High
48.53,Medium
88.76,High
71.71,High
49.89,Medium
93.65,High
54.98,Medium
26.07,Low
31.21,Low
25.54,Low
33.7,Low
77.28,High
85.24,High
74.27,High
73,High
73.31,High
55.79,Medium
3.74,Low
84.93,High
59.42,Medium
34.27,Low
100,High
55.82,Medium
50.87,
16.39,Low
100,High
47.84,Medium
58.3,Medium
26.86,Low
95.18,High
51.11,Medium
58.67,Medium
64.79,Medium
43.78,Medium
59.09,Medium
35.48,Medium
48.64,Medium
11.3,Low
79.87,High
38.67,Medium
65.22,Medium
50.49,Medium
28.84,Low
18.75,Low
36.45,Medium
,Medium
76.02,High
64.08,Medium
26.85,Low
0,Low
67.69,Medium
3.41,Low
44.48,Medium
77.51,High
54.73,Medium
21.2,Low
74.41,High
0,Low
16.13,Low
75.93,High
39.42,Medium
100,High
35.93,Medium
59.17,Medium
39.77,Medium
52.16,Medium
37.33,Medium
43.05,Medium
43.45,Medium
64.74,Medium
54.27,Medium
58.93,Medium
87.86,High
24.12,Low
70.72,High
60.47,Medium
36.15,Medium
0,Low
49.43,Medium
27.58,
44.98,Medium
82.33,High
100,High
,Medium
77.23,High
86.62,High
49.93,Medium
66.1,Medium
78.08,High
65.54,
71.1,High
56.88,Medium
78.21,High
83.21,
69.88,Medium
63.41,Medium
46.3,Medium
69.9,Medium
66.84,Medium
39.96,Medium
85.91,High
10.51,Low
63.29,Medium
95.45,High
67.32,Medium
54.37,Medium
41.35,Medium
100,High
39.51,Medium
73.64,High
41.22,Medium
67.3,Medium
81.24,High
63.82,Medium
74.47,High
73.37,High
76.2,High
16.94,Low
65.47,Medium
32.49,Low
,Medium
69.56,Medium
80.1,High
81.62,High
74.94,High
37.75,Medium
16.92,Low
62.48,Medium
64.12,Medium
62.56,Medium
55.06,Medium
51.16,Medium
18.82,Low
88.62,High
84.66,High
64.76,Medium
64.71,Medium
74.25,High
67.4,Medium
52.13,Medium
68.17,Medium
68.43,Medium
27.62,Low
48.89,Medium
58.63,Medium
15.63,Low
79.82,High
14.93,Low
100,High
0,Low
60.08,Medium
39.23,Medium
69.69,Medium
88.19,High
18.52,Low
20.42,Low
78.02,High
65.06,Medium
23.11,Low
67.83,Medium
12.01,Low
32.51,Low
51.63,Medium
64.13,Medium
77.19,High
13.23,Low
64.93,Medium
89.11,High
74.28,High
23.61,Low
26.28,Low
,High
28,Low
38.91,Medium
70.58,High
60.89,Medium
52.9,Medium
72.82,High
54.52,Medium
63.27,Medium
0,Low
76.84,High
94.29,High
64.35,Medium
21.87,Low
12.31,Low
32.76,Low
22.56,Low
39.09,Medium
34.52,Low
0,Low
89.28,High
26.46,Low
16.92,Low
47.15,Medium
30.85,Low
53.06,Medium
21.41,Low
100,High
,Medium
58.27,Medium
92.87,High
40.98,Medium
15.19,Low
54.38,Medium
36.4,Medium
57.94,Medium
62.18,Medium
59.37,Medium
0,Low
60.11,Medium
45.42,Medium
39.86,Medium
94.46,High
28.05,Low
76.72,High
75.62,High
69.41,Medium
71.82,High
22.45,Low
44.53,Medium
52.55,Medium
75.71,High
64.87,Medium
33.68,Low
24.21,Low
73.96,High
50.43,Medium
20.34,Low
49.82,Medium
91.12,High
40.86,Medium
68.01,Medium
52.34,Medium
24.11,Low
100,High
65.43,Medium
40.02,Medium
75.74,High
49.9,Medium
38.31,Medium
52.71,Medium
62.99,Medium
18.23,Low
52.97,Medium
76.8,High
57.83,Medium
82.37,High
40.73,Medium
59.97,Medium
50.01,Medium
51.95,Medium
27.67,Low
74.39,High
69.79,Medium
52.89,Medium
9.22,Low
37.31,Medium
65.31,Medium
73.43,High
81.66,High
58.08,Medium
53.05,Medium
74.16,High
67.4,Medium
14.84,Low
70.25,High
65.72,Medium
34.07,Low
8.74,Low
17.03,Low
69.69,Medium
40.89,Medium
38.66,Medium
19.74,Low
58.16,Medium
64.73,Medium
16.94,Low
,Medium
89.35,High
28.1,Low
33.98,Low
46.46,Medium
74.1,High
58.1,Medium
62.92,Medium
50.28,Medium
43.9,Medium
61.85,Medium
31.01,Low
25.8,Low
53.29,Medium
65.57,Medium
68.48,Medium
18.26,Low
38.44,Medium
48.98,Medium
32.1,
48.67,Medium
29.81,Low
23.37,Low
40.73,Medium
58.28,Medium
8.82,Low
39.85,Medium
46.53,Medium
34.55,Low
33.38,Low
57.38,Medium
46.28,Medium
28.66,Low
60.17,Medium
19.77,Low
55.56,Medium
58.24,Medium
86.14,High
65.38,
61.54,Medium
38.75,Medium
46.93,Medium
41.27,Medium
40.36,Medium
20.04,Low
31.05,Low
95.86,High
14.67,Low
53.75,Medium
51.21,Medium
73.59,High
55.79,Medium
53.86,Medium
64.53,Medium
33.85,Low
39.8,Medium
49.71,Medium
100,High
69.97,Medium
34.59,Low
24.57,Low
45.46,Medium
100,High
8.1,Low
49.83,Medium
46.33,Medium
58.83,Medium
87.17,High
57.01,Medium
,Medium
30.18,Low
61.73,Medium
34.77,Low
32.88,Low
76.26,High
93.13,High
39.68,Medium
32.99,Low
52.79,Medium
44.28,
73.63,High
54.51,Medium
78.45,High
89.11,High
67.52,Medium
57.88,Medium
76.2,High
35.06,Medium
17.57,Low
23.9,Low
62.52,Medium
46.71,Medium
38.63,Medium
49.29,Medium
47.32,Medium
75.55,High
41.14,Medium
72.4,
57.98,Medium
70.86,High
56.6,Medium
55.72,Medium
38.42,Medium
70.33,High
63.02,Medium
77.28,High
61.75,Medium
27.6,Low
40.89,Medium
62.93,Medium
50.33,Medium
11.56,Low
57.49,Medium
53.2,Medium
70.2,High
50.77,Medium
40.61,Medium
55.07,Medium
82.46,High
100,High
69.86,Medium
61.43,Medium
23.81,Low
85.51,High
54.99,Medium
8.78,Low
,Low
64.76,Medium
25.7,Low
26.29,Low
25.65,Low
59.57,Medium
65.1,Medium
37.15,
11.43,Low
25.45,Low
30.51,Low
51.33,Medium
29.79,Low
72.1,High
35.41,Medium
58.83,
95.41,High
32.99,Low
44.59,Medium
60.15,Medium
70.7,High
16.54,
33.7,Low
0,Low
25.2,Low
62.64,Medium
,Medium
95.04,High
32.56,Low
52.75,Medium
73.34,High
68.7,Medium
68.44,Medium
40.11,Medium
49.27,Medium
49.57,Medium
38.55,Medium
67.44,Medium
53.94,Medium
44.57,Medium
62.53,Medium
73.93,High
61.67,Medium
77.34,High
28.62,Low
85.44,High
33.72,Low
83.51,High
31.87,Low
3.61,Low
96.52,High
39.27,Medium
100,High
58.96,Medium
87.73,High
70.98,High
28.18,Low
42.32,Medium
41.13,Medium
38.61,Medium
55.95,Medium
51.15,Medium
65.62,Medium
73.73,High
99.1,High
68.44,Medium
43.87,
91.94,High
31.94,Low
54.5,Medium
49.93,Medium
45.71,Medium
80.96,High
68.46,Medium
41.75,Medium
68.13,Medium
78.78,High
42.39,Medium
34.32,Low
49.35,Medium
100,High
38.29,Medium
33.82,Low
30.05,Low
30.55,Low
43.38,Medium
97.77,High
57.13,Medium
61.67,Medium
67.93,Medium
22.83,Low
44.04,Medium
33.74,Low
48.61,Medium
28.28,Low
52.47,Medium
28.58,Low
42.73,Medium
36.84,Medium
86.07,High
72.77,High
54.47,Medium
37.2,Medium
43.41,Medium
52.65,Medium
48.31,Medium
47.26,Medium
88.74,High
47.12,Medium
64.29,Medium
72.67,High
78.95,High
26.81,Low
49.29,Medium
77.35,High
90.58,High
54,Medium
72.86,High
23.3,Low
100,High
22.1,Low
42.24,Medium
67.15,Medium
45.72,Medium
50.92,Medium
84.65,High
16.98,Low
51.1,Medium
,Medium
78.17,High
60.07,Medium
92.99,High
49.68,Medium
73.38,High
74.11,High
22.74,Low
41.74,Medium
61.81,Medium
69.84,Medium
71.46,High
49.15,Medium
57.02,Medium
55.8,Medium
77.19,High
39.51,Medium
79.4,High
63.13,Medium
0,Low
23.64,Low
86.53,High
90.36,High
39.5,Medium
54.13,Medium
45.89,Medium
100,High
57.49,Medium
63.84,Medium
88.44,High
52.88,Medium
77.38,High
13.62,Low
76.87,High
13.42,Low
55.79,Medium
60.43,Medium
68.15,Medium
54.45,
62.39,Medium
81.47,High
37.26,Medium
63.04,Medium
28.87,Low
66.07,Medium
42.03,Medium
22.09,Low
67.97,Medium
67.55,Medium
79.94,High
25.16,Low
52.95,Medium
53.39,Medium
82.9,High
4.93,Low
62.55,Medium
62.13,Medium
26.6,Low
52.75,Medium
64.29,Medium
64.25,Medium
10.99,Low
64.95,Medium
97.93,High
48.3,Medium
75.32,High
,Medium
73.49,High
43.97,Medium
38.44,Medium
36.21,Medium
57.13,Medium
41.24,Medium
47.48,Medium
61.35,Medium
56.4,Medium
46.51,Medium
42.36,Medium
26.59,Low
80.57,High
,Medium
48.2,Medium
64.04,Medium
65.71,Medium
50.79,Medium
57.26,Medium
82.58,High
61.17,Medium
55.67,Medium
9.07,Low
100,High
63.14,Medium
57.1,Medium
79.96,High
89.42,High
94.93,High
50.12,Medium
80.26,High
55.29,Medium
30.18,Low
35.85,Medium
46.24,Medium
34.8,Low
73.84,High
60.8,Medium
10.4,Low
84.38,High
74.33,High
,Medium
12.17,Low
41.28,Medium
70.08,High
58.87,Medium
100,High
43.86,Medium
100,High
40.35,Medium
87.78,High
34.54,Low
48.04,Medium
55.72,Medium
33.3,Low
52.78,Medium
96.28,High
64.84,Medium
58.03,Medium
16.8,Low
75.13,High
47,Medium
75.96,High
30.02,Low
56.31,Medium
63.55,Medium
94.88,High
25.33,Low
15.75,Low
39.98,Medium
10.19,Low
37.01,Medium
63.64,Medium
20.6,Low
56.76,Medium
29.01,Low
50.99,Medium
54.48,Medium
52.96,Medium
41.27,Medium
88.78,High
53.07,Medium
43.92,Medium
53.27,Medium
55.18,Medium
60.88,Medium
57.82,Medium
66.1,Medium
31.71,Low
13.37,Low
60.48,Medium
44.48,Medium
56.84,
16.51,Low
91.76,High
39.86,Medium
61,Medium
,High
21.64,Low
10.46,Low
32.49,Low
21.57,Low
76.63,High
25.31,Low
70.01,High
,Medium
17.78,Low
60.06,Medium
24.96,Low
7.45,Low
51.01,Medium
92.25,High
31.43,Low
53.51,Medium
48.8,Medium
64.77,Medium
100,High
42.85,Medium
30.17,Low
23.85,Low
67.42,Medium
100,High
89.78,High
40.57,Medium
63.5,Medium
65.08,Medium
67.15,Medium
62.57,Medium
32.53,Low
39.08,Medium
5.09,Low
49.12,Medium
67.18,Medium
63.44,Medium
100,High
27.17,Low
17.23,Low
77.25,High
69.94,Medium
27.91,Low
77.9,High
61.65,Medium
55.32,Medium
69.62,Medium
89.21,High
13.67,Low
49.87,Medium
36.3,Medium
70.43,High
64.26,Medium
72.29,
70.01,High
,High
26.99,Low
,Medium
59.87,Medium
33.09,Low
100,
51.15,Medium
38.35,Medium
32.03,Low
67.78,Medium
19.86,Low
67.04,
30.37,Low
70.52,High
89.94,High
14.58,Low
75.89,
42.62,Medium
53.4,Medium
,Medium
18.53,Low
48.75,Medium
78.35,High
52.9,Medium
13.69,Low
39.28,Medium
77.53,High
30.67,Low
79.26,High
67.85,Medium
17.65,Low
56.97,Medium
60.95,Medium
66.64,Medium
84.4,High
40.37,Medium
26.76,Low
56.66,Medium
94.49,High
60.27,Medium
28.79,Low
42.27,Medium
58.45,Medium
88.97,High
6.74,Low
24.94,Low
85.36,High
63.98,Medium
83.2,High
39.15,Medium
17.34,Low
30.25,Low
40.23,Medium
52.6,Medium
16.25,Low
35.18,Medium
100,High
49.82,Medium
70.02,High
33.05,Low
72.84,High
0,Low
88.21,High
33.06,Low
32.7,Low
80.06,High
55.73,Medium
43.52,Medium
58.34,Medium
75.09,High
37.59,Medium
26.18,Low
53.13,Medium
31.3,Low
41.51,Medium
36.29,Medium
41.76,Medium
83.44,High
58.6,Medium
82.35,High
58.77,Medium
49.38,Medium
83.31,High
29.32,Low
78.18,High
19.3,Low
46.6,Medium
68.25,Medium
51.59,Medium
43.17,Medium
60.95,Medium
32.49,Low
55.93,Medium
67.84,Medium
61.52,Medium
15.08,Low
67.3,Medium
70.48,High
8.85,Low
27.01,Low
76.03,High
34.54,Low
98.07,High
69.22,Medium
21.18,Low
27.49,Low
42.6,Medium
51.91,Medium
41.87,Medium
50.93,Medium
79.21,High
21.25,Low
78.37,High
49.44,Medium
87.41,High
76.61,High
70.68,High
55.96,Medium
77.96,High
80.42,
16.67,Low
19.8,Low
91.99,High
57.59,Medium
57.33,Medium
72.07,High
28.38,Low
31.57,Low
91.62,High
58.16,Medium
88.44,High
79.64,High
35.69,Medium
23.7,Low
,High
46.68,Medium
26.31,Low
100,High
89.98,High
69.72,Medium
43.55,Medium
77.77,High
59.16,Medium
69.67,Medium
61.1,Medium
100,High
38.03,Medium
89.22,High
13.07,Low
19.42,Low
96.22,High
8.91,Low
47.33,Medium
14.79,Low
95.33,High
13.99,Low
28.95,Low
79.89,High
40.76,Medium
78.33,
41.22,Medium
63.76,Medium
55.19,Medium
61.38,Medium
78.83,High
58.07,Medium
75.53,High
100,High
68.15,Medium
41.76,Medium
84.85,High
58.11,Medium
,Low
74.52,High
98.47,High
82.27,High
43.27,Medium
56.59,Medium
67.98,Medium
74.4,High
63.35,Medium
43.45,Medium
18.77,Low
63.22,Medium
84.76,High
91.57,High
56.51,Medium
56.96,Medium
57.51,Medium
50.63,Medium
64.54,Medium
21.5,Low
79.79,High
67.18,Medium
26.1,Low
34.06,Low
29.98,Low
80.55,High
58.06,Medium
53.87,Medium
48.28,Medium
41.49,Medium
34.34,Low
66.92,Medium
35.24,Medium
53.44,Medium
55.08,Medium
53.16,Medium
81.45,High
62.99,Medium
64.67,Medium
80.24,High
44.4,Medium
78.09,High
46.03,Medium
50.67,Medium
43.52,Medium
55.82,Medium
61.99,Medium
74.07,High
42.4,Medium
32.22,Low
0,Low
62.42,Medium
89.98,High
100,High
71.32,High
51.61,Medium
69.63,Medium
96.7,High
63.33,Medium
78.26,High
55.06,Medium
74.77,High
21.97,Low
69.61,Medium
50.45,Medium
46.11,Medium
40.65,Medium
55.24,Medium
81.67,High
45.47,Medium
46.6,Medium
88.36,High
76.94,High
83.78,High
25.79,Low
64.87,Medium
66.12,Medium
66.08,Medium
52.06,Medium
37.94,Medium
100,High
63.81,Medium
27.46,Low
27.91,Low
76.54,High
25.07,Low
75.66,High
60.41,Medium
80.27,High
97.19,High
98.52,High
31.95,Low
66.6,Medium
55.76,Medium
59.75,Medium
1.86,Low
44.27,Medium
71.34,High
35.76,Medium
35.85,Medium
51.59,Medium
24.17,Low
49.83,Medium
52.4,Medium
52.28,Medium
42.66,Medium
39.4,Medium
79.18,High
100,High
69.95,Medium
54.81,
19.51,Low
20.37,Low
42.66,Medium
79.1,High
56.69,Medium
38.37,Medium
83.73,High
45.9,Medium
36.32,Medium
37.24,Medium
80.36,High
52.09,Medium
52.58,Medium
43.85,Medium
85.56,High
50.42,Medium
46.88,Medium
44.61,Medium
49.88,Medium
38.51,
67.23,Medium
62.43,Medium
64.97,Medium
59.48,Medium
59.52,Medium
67.87,Medium
43.03,
32.99,Low
51.54,
64.52,
78.27,High
49.08,Medium
68.25,Medium
81.56,High
43.04,Medium
48.1,Medium
54.25,Medium
48.37,Medium
46.66,Medium
30.24,Low
76.55,High
63.24,Medium
43.6,Medium
78.85,High
26.26,Low
68.84,Medium
87.9,High
60.84,Medium
29.19,Low
18.81,Low
55.67,Medium
10.5,Low
29.74,Low
55.65,Medium
20.33,Low
,Medium
27.29,Low
70.81,High
91.26,High
54.94,Medium
30.86,Low
52.86,Medium
34.21,Low
67.24,Medium
62.37,Medium
36.2,Medium
63.93,Medium
35.59,Medium
,Medium
0,Low
76.04,High
41.53,Medium
60.74,Medium
27.65,Low
56.98,Medium
53.33,Medium
45.61,Medium
52.84,Medium
100,High
100,High
29.46,Low
46,Medium
6.44,Low
100,High
70.02,High
62.28,Medium
26.88,Low
28.98,Low
54.72,Medium
39.4,
42.03,Medium
26.58,Low
44.39,Medium
71.95,High
75.14,High
56.95,Medium
39.6,Medium
17.7,Low
41.88,Medium
81.04,High
66.4,Medium
92.23,High
17.8,Low
100,High
87.43,High
21.8,Low
99.08,High
44.42,Medium
38.48,Medium
58.1,Medium
88.14,High
100,High
70.5,High
94.68,High
48.46,Medium
86.51,High
50.43,Medium
34.5,Low
,Low
36.78,Medium
14.2,Low
73.2,High
38.42,Medium
61.33,Medium
15.76,Low
46.44,Medium
48.96,Medium
33.18,Low
54.23,Medium
44.31,Medium
83.88,High
24.51,Low
75.49,High
71.84,High
7.92,Low
45.67,Medium
25.98,Low
36.1,Medium
62.32,Medium
68.52,Medium
9.89,Low
34.31,Low
43.1,Medium
82.6,High
86.68,High
96.07,High
35.9,Medium
93.8,High
70.56,High
42.17,Medium
45.52,Medium
30.59,Low
62.32,Medium
50.83,Medium
15.59,Low
33.38,Low
35.08,Medium
0,Low
89.49,High
51.81,Medium
62.94,Medium
34.04,Low
92.57,High
37.68,Medium
33.07,
20.24,Low
44.92,Medium
100,High
58.89,Medium
28.3,Low
62.81,
57.52,Medium
27.87,Low
56.26,Medium
16.52,Low
28.78,Low
